date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:29:59	191/191	---MCZ	200	added ('OK')	text/plain	date:Thu,%2001%20May%202025%2017:59:59%20GMT	https://www.silage-wp.egenslab.com/robots.txt		(from )
23:30:00	315097/315097	---M-Z	200	added ('OK')	text/html	date:Thu,%2001%20May%202025%2017:59:59%20GMT	https://www.silage-wp.egenslab.com/	C:/My%20Web%20Sites/silage/www.silage-wp.egenslab.com/index.html	(from )
23:30:00	2894/2894	---MCZ	200	added ('OK')	text/css	etag:W/%2267f8b7b3-b4e%22	https://www.silage-wp.egenslab.com/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=6.0.6	C:/My%20Web%20Sites/silage/www.silage-wp.egenslab.com/wp-content/plugins/contact-form-7/includes/css/stylesfc7a.css	(from https://www.silage-wp.egenslab.com/)
23:30:01	19727/19727	---MCZ	200	added ('OK')	text/css	etag:W/%2267f8b7c4-4d0f%22	https://www.silage-wp.egenslab.com/wp-content/plugins/woocommerce/assets/css/woocommerce-layout.css?ver=9.8.1	C:/My%20Web%20Sites/silage/www.silage-wp.egenslab.com/wp-content/plugins/woocommerce/assets/css/woocommerce-layout94cf.css	(from https://www.silage-wp.egenslab.com/)
23:30:02	7527/7527	---MCZ	200	added ('OK')	text/css	etag:W/%2267f8b7c4-1d67%22	https://www.silage-wp.egenslab.com/wp-content/plugins/woocommerce/assets/css/woocommerce-smallscreen.css?ver=9.8.1	C:/My%20Web%20Sites/silage/www.silage-wp.egenslab.com/wp-content/plugins/woocommerce/assets/css/woocommerce-smallscreen94cf.css	(from https://www.silage-wp.egenslab.com/)
23:30:03	85777/85777	---MCZ	200	added ('OK')	text/css	etag:W/%2267f8b7c4-14f11%22	https://www.silage-wp.egenslab.com/wp-content/plugins/woocommerce/assets/css/woocommerce.css?ver=9.8.1	C:/My%20Web%20Sites/silage/www.silage-wp.egenslab.com/wp-content/plugins/woocommerce/assets/css/woocommerce94cf.css	(from https://www.silage-wp.egenslab.com/)
23:30:03	2279/2279	---MCZ	200	added ('OK')	text/css	etag:W/%2267f8b7c4-8e7%22	https://www.silage-wp.egenslab.com/wp-content/plugins/woocommerce/assets/css/brands.css?ver=9.8.1	C:/My%20Web%20Sites/silage/www.silage-wp.egenslab.com/wp-content/plugins/woocommerce/assets/css/brands94cf.css	(from https://www.silage-wp.egenslab.com/)
23:30:03	57095/57095	---MCZ	200	added ('OK')	text/css	etag:W/%2263e1fd7e-df07%22	https://www.silage-wp.egenslab.com/wp-content/themes/silage-wp/assets/css/animate.css?ver=1.0.0	C:/My%20Web%20Sites/silage/www.silage-wp.egenslab.com/wp-content/themes/silage-wp/assets/css/animate8a54.css	(from https://www.silage-wp.egenslab.com/)
23:30:03	73579/73579	---MCZ	200	added ('OK')	text/css	etag:W/%2263e1fd7e-11f6b%22	https://www.silage-wp.egenslab.com/wp-content/themes/silage-wp/assets/css/all.css?ver=1.0.0	C:/My%20Web%20Sites/silage/www.silage-wp.egenslab.com/wp-content/themes/silage-wp/assets/css/all8a54.css	(from https://www.silage-wp.egenslab.com/)
23:30:04	154875/154875	---MCZ	200	added ('OK')	text/css	etag:W/%2263e1fd7e-25cfb%22	https://www.silage-wp.egenslab.com/wp-content/themes/silage-wp/assets/css/bootstrap.min.css?ver=1.0.0	C:/My%20Web%20Sites/silage/www.silage-wp.egenslab.com/wp-content/themes/silage-wp/assets/css/bootstrap.min8a54.css	(from https://www.silage-wp.egenslab.com/)
23:30:04	63783/63783	---MCZ	200	added ('OK')	text/css	etag:W/%2263e1fd7e-f927%22	https://www.silage-wp.egenslab.com/wp-content/themes/silage-wp/assets/css/boxicons.min.css?ver=1.0.0	C:/My%20Web%20Sites/silage/www.silage-wp.egenslab.com/wp-content/themes/silage-wp/assets/css/boxicons.min8a54.css	(from https://www.silage-wp.egenslab.com/)
23:30:04	73209/73209	---MCZ	200	added ('OK')	text/css	etag:W/%2263e1fd7e-11df9%22	https://www.silage-wp.egenslab.com/wp-content/themes/silage-wp/assets/css/bootstrap-icons.css?ver=1.0.0	C:/My%20Web%20Sites/silage/www.silage-wp.egenslab.com/wp-content/themes/silage-wp/assets/css/bootstrap-icons8a54.css	(from https://www.silage-wp.egenslab.com/)
23:30:05	36099/36099	---MCZ	200	added ('OK')	text/css	etag:W/%2263e1fd7e-8d03%22	https://www.silage-wp.egenslab.com/wp-content/themes/silage-wp/assets/css/jquery-ui.css?ver=1.0.0	C:/My%20Web%20Sites/silage/www.silage-wp.egenslab.com/wp-content/themes/silage-wp/assets/css/jquery-ui8a54.css	(from https://www.silage-wp.egenslab.com/)
23:30:05	17659/17659	---MCZ	200	added ('OK')	text/css	etag:W/%2263e1fd7e-44fb%22	https://www.silage-wp.egenslab.com/wp-content/themes/silage-wp/assets/css/swiper-bundle.css?ver=1.0.0	C:/My%20Web%20Sites/silage/www.silage-wp.egenslab.com/wp-content/themes/silage-wp/assets/css/swiper-bundle8a54.css	(from https://www.silage-wp.egenslab.com/)
